match_id,year,stage,stage_numeric,is_knockout,date,venue,team,opponent,is_home,team_confederation,opp_confederation,same_confederation,is_host,opp_is_host,neutral_venue,team_elo,opp_elo,elo_diff,elo_win_prob,form_5,opp_form_5,form_diff,goals_scored_form5,goals_conceded_form5,opp_goals_scored_form5,wc_appearances,opp_wc_appearances,wc_wins,opp_wc_wins,wc_finals,opp_wc_finals,wc_semis,opp_wc_semis,wc_avg_goals,h2h_winrate,h2h_matches,rest_days,opp_rest_days,rest_days_adv,tournament_match_num,tourn_matches_played,tourn_goals_for,tourn_goals_against,tourn_goal_diff,tourn_wins,tourn_winrate,tourn_goals_per_match,tourn_shots,tourn_xg,shots,shots_on_target,shot_accuracy,possession,fouls,yellow_cards,red_cards,offsides,corners,xg,opp_xg,xg_diff,sb_squad_size,sb_yellow_cards,sb_red_cards,goals_scored,goals_conceded,goal_diff,result,result_code,win_condition,goals_scored_et,half_time_goals,half_time_available,attendance,team_conf_code,opp_conf_code,squad_xg_per_match,squad_goals_per_match,squad_shots_per_match,squad_key_passes_per_match,squad_interceptions_per_match,squad_dribbles_per_match,squad_squad_pass_accuracy,squad_squad_players_used,opp_squad_xg_per_match,opp_squad_goals_per_match,opp_squad_shots_per_match,opp_squad_key_passes_per_match,opp_squad_interceptions_per_match,opp_squad_dribbles_per_match,opp_squad_squad_pass_accuracy,opp_squad_squad_players_used,squad_avg_age,opp_squad_avg_age,avg_club_prestige,max_club_prestige,opp_avg_club_prestige,opp_max_club_prestige,club_prestige_diff,age_diff,split,data_tier
11,1930,Group Stage,1,0,1930-07-19,Estadio Centenario,Argentina,Mexico,1,CONMEBOL,CONCACAF,0,0,0,1,1750.62,1417.17,333.4499999999998,0.8721,0.8,0.3,0.5,2.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,3.0,1.0,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,6,3,3,Win,2,Full Time,,3.0,1.0,42100.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
11,1930,Group Stage,1,0,1930-07-19,Estadio Centenario,Mexico,Argentina,0,CONCACAF,CONMEBOL,0,0,0,1,1417.17,1750.62,-333.4499999999998,0.1279,0.3,0.8,-0.5,1.6,3.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,4.0,-1.0,11,2.0,1.0,7.0,-6.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,0.0,,,3,6,-3,Loss,0,Full Time,,1.0,1.0,42100.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
12,1930,Group Stage,1,0,1930-07-20,Estadio Centenario,Brazil,Bolivia,1,CONMEBOL,CONMEBOL,1,0,0,1,1930.75,1709.89,220.8599999999999,0.781,0.5,0.0,0.5,2.2,2.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,6.0,3.0,3.0,12,1.0,1.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,4,0,4,Win,2,Full Time,,1.0,1.0,25466.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
12,1930,Group Stage,1,0,1930-07-20,Estadio Centenario,Bolivia,Brazil,0,CONMEBOL,CONMEBOL,1,0,0,1,1709.89,1930.75,-220.8599999999999,0.219,0.0,0.5,-0.5,0.8,6.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,6.0,-3.0,12,1.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,4,-4,Loss,0,Full Time,,0.0,1.0,25466.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
13,1930,Group Stage,1,0,1930-07-20,Estadio Centenario,Paraguay,Belgium,1,CONMEBOL,UEFA,0,0,0,1,1865.19,1861.09,4.100000000000136,0.5059,0.7,0.5,0.2,2.6,1.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,7.0,-4.0,13,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,0,1,Win,2,Full Time,,1.0,1.0,12000.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
13,1930,Group Stage,1,0,1930-07-20,Estadio Centenario,Belgium,Paraguay,0,UEFA,CONMEBOL,0,0,0,1,1861.09,1865.19,-4.100000000000136,0.4941,0.5,0.7,-0.2,1.8,1.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,7.0,3.0,4.0,13,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,1,-1,Loss,0,Full Time,,0.0,1.0,12000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
14,1930,Group Stage,1,0,1930-07-21,Estadio Centenario,Uruguay,Romania,1,CONMEBOL,UEFA,0,1,0,0,1667.05,1506.21,160.83999999999992,0.7162,0.4,0.6,-0.2,1.0,1.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,7.0,-4.0,14,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,4,0,4,Win,2,Full Time,,4.0,1.0,70022.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
14,1930,Group Stage,1,0,1930-07-21,Estadio Centenario,Romania,Uruguay,0,UEFA,CONMEBOL,0,0,1,0,1506.21,1667.05,-160.83999999999992,0.2838,0.6,0.4,0.2,3.2,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,7.0,3.0,4.0,14,1.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,4,-4,Loss,0,Full Time,,0.0,1.0,70022.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
15,1930,Group Stage,1,0,1930-07-22,Estadio Centenario,Argentina,Chile,1,CONMEBOL,CONMEBOL,1,0,0,1,1758.3,1442.99,315.30999999999995,0.86,0.9,0.5,0.4,2.2,0.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,3.0,0.0,15,2.0,7.0,3.0,4.0,2.0,1.0,3.5,0.0,0.0,,,,,,,,,,,,,0.0,,,3,1,2,Win,2,Full Time,,2.0,1.0,41459.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
15,1930,Group Stage,1,0,1930-07-22,Estadio Centenario,Chile,Argentina,0,CONMEBOL,CONMEBOL,1,0,0,1,1442.99,1758.3,-315.30999999999995,0.14,0.5,0.9,-0.4,2.4,2.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,3.0,0.0,15,2.0,4.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,3,-2,Loss,0,Full Time,,1.0,1.0,41459.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
