fixture_id,date,stage,city,country,home_team,away_team,result_available,home_host_nation,home_current_elo,home_form_10,home_goals_scored_form10,home_goals_conceded_form10,home_last_5_pts,home_intl_matches_available,home_wc_appearances,home_wc_wins,home_wc_finals,home_wc_semis,home_last_wc_year,home_squad_avg_age_2026,home_avg_club_prestige,home_max_club_prestige,home_players_with_recent_data,home_squad_xg_p90,home_squad_goals_p90,home_squad_key_passes_p90,home_squad_interceptions_p90,home_squad_pass_accuracy,home_squad_prog_carries_p90,away_host_nation,away_current_elo,away_form_10,away_goals_scored_form10,away_goals_conceded_form10,away_last_5_pts,away_intl_matches_available,away_wc_appearances,away_wc_wins,away_wc_finals,away_wc_semis,away_last_wc_year,away_squad_avg_age_2026,away_avg_club_prestige,away_max_club_prestige,away_players_with_recent_data,away_squad_xg_p90,away_squad_goals_p90,away_squad_key_passes_p90,away_squad_interceptions_p90,away_squad_pass_accuracy,away_squad_prog_carries_p90,elo_diff,home_elo_win_prob,form_diff,home_score,away_score
34,2026-06-20,Group Stage,Guadalupe,Mexico,Tunisia,Japan,0,0,1691.38,0.4879,1.3,1.0,6,10,6,0,0,0,2022,31.2,5.0,5.0,19,0.0539,0.0223,0.4684,0.4907,0.7785,4.5502,0,1929.99,0.8527,1.9,0.6,15,10,7,0,0,0,2022,31.3,5.182,9.0,0,,,,,,,-238.6099999999999,0.202,-0.3648,,
35,2026-06-20,Group Stage,Toronto,Canada,Germany,Ivory Coast,0,0,1946.73,0.8744,2.6,0.9,15,10,10,1,2,5,2022,31.0,7.25,10.0,23,0.1068,0.1347,0.9429,0.4531,0.8839,6.8816,0,1752.32,0.7642,2.0,0.7,12,10,0,0,0,0,0,,5.0,5.0,24,0.0999,0.1127,0.6071,0.4337,0.8201,5.2992,194.41000000000008,0.7538,0.1102,,
36,2026-06-20,Group Stage,Kansas City,United States,Ecuador,Curaçao,0,0,1942.9,0.6694,0.9,0.5,9,10,4,0,0,0,2022,28.7,5.0,5.0,18,0.128,0.0968,0.4358,0.5004,0.7372,3.3734,0,1585.94,0.3901,1.6,1.6,4,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,356.96000000000004,0.8864,0.2793,,
37,2026-06-21,Group Stage,Inglewood,United States,Belgium,Iran,0,0,1861.09,0.7922,3.5,1.0,11,10,14,0,0,2,2022,32.3,5.725,10.0,18,0.0766,0.0349,0.6274,0.3311,0.851,6.1522,0,1837.16,0.5919,1.7,0.8,8,10,6,0,0,0,2022,32.6,5.0,5.0,0,,,,,,,23.929999999999836,0.5344,0.2003,,
38,2026-06-21,Group Stage,Vancouver,Canada,New Zealand,Egypt,0,0,1708.68,0.2634,0.9,1.5,4,10,2,0,0,0,2010,,5.0,5.0,0,,,,,,,0,1777.03,0.7375,1.4,0.5,8,10,3,0,0,0,2018,,5.0,5.0,22,0.2379,0.2356,0.8441,0.5889,0.8447,5.6925,-68.34999999999991,0.4029,-0.4741,,
39,2026-06-21,Group Stage,Atlanta,United States,Spain,Saudi Arabia,0,0,2100.01,0.828,3.1,0.8,11,10,16,1,1,2,2022,30.0,7.595,10.0,25,0.0964,0.1278,0.9858,0.4381,0.8786,7.5396,0,1690.33,0.3152,1.0,1.5,3,10,6,0,0,0,2022,31.6,5.0,5.0,0,,,,,,,409.6800000000003,0.9136,0.5128,,
40,2026-06-21,Group Stage,Miami Gardens,United States,Uruguay,Cape Verde,0,0,1871.66,0.5735,1.0,0.9,6,10,14,2,2,5,2022,32.1,5.711,10.0,21,0.1615,0.2058,0.6716,0.5741,0.7835,5.5675,0,1650.41,0.6297,1.7,1.0,6,10,0,0,0,0,0,,5.0,5.0,21,0.1289,0.1082,0.5528,0.5889,0.8096,4.4345,221.25,0.7814,-0.0562,,
41,2026-06-22,Group Stage,Philadelphia,United States,France,Iraq,0,0,2034.02,0.8902,2.7,1.1,13,10,16,2,4,7,2022,30.2,7.208,10.0,18,0.1366,0.079,0.9363,0.5415,0.8775,7.3101,0,1752.87,0.6939,1.1,0.7,9,10,1,0,0,0,1986,,5.0,5.0,0,,,,,,,281.1500000000001,0.8346,0.1963,,
42,2026-06-22,Group Stage,East Rutherford,United States,Norway,Senegal,0,0,1885.18,0.7612,3.1,0.7,10,10,3,0,0,0,1998,,5.0,5.0,0,,,,,,,0,1853.95,0.7015,1.9,0.9,9,10,3,0,0,0,2022,30.2,5.4,9.0,22,0.1416,0.2016,0.5273,0.5738,0.8047,4.6528,31.230000000000018,0.5448,0.0597,,
43,2026-06-22,Group Stage,Arlington,United States,Argentina,Austria,0,0,2040.35,0.8726,2.5,0.4,15,10,18,3,6,6,2022,31.3,5.646,9.5,24,0.1616,0.131,0.675,0.5138,0.8618,5.8133,0,1817.17,0.8534,2.7,0.4,13,10,7,0,0,2,1998,,5.0,5.0,19,0.1017,0.0998,0.6484,0.7482,0.8138,6.0521,223.17999999999984,0.7833,0.0192,,
